Agency Name,Licensee/Corporate Entity,Key Contacts / Roles,Primary Phone,Email Address,Physical Location / Address,Market Segment
Bluedreams Tours Ltd,Via Corporate Desk,Via Registry; Tour Operations Manager,,,"Main Office, Mauritius",Boutique/Independent Network Agency
CLB Holidays Ltd,Via Corporate Desk,Via Registry; Reservations Manager,,,"Main Office, Mauritius",Boutique/Independent Network Agency
Dream Travel Mauritius,Via Corporate Desk,Premium Holiday Specialist; Via Registry; Independent Network,+230 5881 6244,dreamtravelmauritius@gmail.com,"Dream Travel Mauritius; Mauritius; Main Office, Mauritius",Boutique/Independent Network Agency
Eastcape Holidays Ltd,Via Corporate Desk,Via Registry; Tour Operations Manager,,,"Main Office, Mauritius",Boutique/Independent Network Agency
Elite Voyage Mauritius,Elite Voyage Mauritius,"Operations Manager; Valentina Nehaldas (Managing Director), Kevin Suntoo (Sales Manager); Valentina Nehaldas","+230 696 6000 / 5498 6000, +230 696 6000, +230 5498 6000, +230 5498 6011",info@elite-voyage.mu,"Dr. Edwards Street, Curepipe; Elite Voyage Mauritius; Royal Rd, Floreal",Boutique/Independent Network Agency
Ema Voyage Mauritius,Travel Consultants,Travel Advisors Team,+230 5252 8300,contact@emavoyagemauritius.com,"Mauritius; emavoyagemauritius.com; Ema Voyage Mauritius; Main Office, Mauritius",Boutique/Independent Network Agency
Family Dreams Travel,Family Dreams Travel & Tours Ltd,Reservations Manager,"+230 5900 9000, +230 413 9000",familydreamstravel@gmail.com,"La Source, Central Flacq",Boutique/Independent Network Agency
Flamboyant Holidays,Flamboyant Holidays,Independent Network,+230 5256 0813,flamboyantholidays@gmail.com,Mauritius,Boutique/Independent Network Agency
Holiday Planners Travel,Holiday Planners Travel Agency Ltd,,,,"24 Louis Pasteur St, Port Louis",Boutique/Independent Network Agency
Holidays Tropic Ltd,Via Corporate Desk,Via Registry; Tropical Tour Coordinator,,,"Main Office, Mauritius",Boutique/Independent Network Agency
Hotemart,Hotemart,,+230 454 1600,info@hotemart.travel,"Hotemart (Mauritius) Ltd; Ave Buswell, Quatre Bornes",Boutique/Independent Network Agency
Jes Travel Consultants,JES Travel Consultants Ltd,33 Edith Cavell St,,,,Boutique/Independent Network Agency
Lifestyle Holidays (Mauritius) Ltd,Via Corporate Desk,Holiday Specialists; Via Registry,,,"Lifestyle Holidays (Mauritius) Ltd; Main Office, Mauritius",Boutique/Independent Network Agency
Luxe Voyage,Luxe Voyage Ltd,,+230 263 4154,resa@luxevoyage.mu,"Ground Floor, Suite 21, Grand Bay Business Park, Grand Baie",Boutique/Independent Network Agency
